OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
38328,HARAHAN LA,1353,WM Supercenter,Retail,5110 JEFFERSON HWY,HARAHAN,JEFFERSON,LA,70123-5302,Open,c100c2bf-a560-4e49-b94d-48ab1bfe9501,-10038735.9087,3497058.7764
38329,WASHINGTON NC,1354,WM Supercenter,Retail,570 PAMLICO PLZ,WASHINGTON,BEAUFORT,NC,27889-3337,Open,98edb0ab-7f5c-48da-8581-89aafb91cb88,-8578699.969,4240221.7863
38330,MOREHEAD CITY NC,1355,WM Supercenter,Retail,300 NC HIGHWAY 24,MOREHEAD CITY,CARTERET,NC,28557-2551,Open,f005ccfb-5f9a-465a-ade8-4d6321ac69d3,-8550631.4273,4127902.516
38331,MARTINSVILLE IN,1356,WM Supercenter,Retail,410 GRAND VALLEY BLVD,MARTINSVILLE,MORGAN,IN,46151-6123,Open,562368e8-eda8-4bae-aad3-adc89f896e81,-9618659.899,4781774.7298
38332,SILVER CITY NM,1357,WM Supercenter,Retail,2501 HIGHWAY 180 E,SILVER CITY,GRANT,NM,88061-7791,Open,50d2f2e8-b0e2-4e66-868c-d75bdd0a3ca9,-12050063.5928,3867413.2444
38333,WALTERBORO SC,1358,WM Supercenter,Retail,2110 BELLS HWY,WALTERBORO,COLLETON,SC,29488-6978,Open,e93ceec9-6d0c-4aad-a626-f16756889ad7,-8982327.856,3886625.4927
38334,NORTH CHARLESTON SC,1359,WM Supercenter,Retail,7400 RIVERS AVE,NORTH CHARLESTON,CHARLESTON,SC,29406-4644,Open,c33ebd1d-4b10-493e-9bf8-1e0ffe913b8d,-8909525.243,3887231.7831
38335,"FAYETTEVILLE, WV",1360,WM Supercenter,Retail,204 TOWN CENTER RD,FAYETTEVILLE,FAYETTE,WV,25840-9540,Open,5bcb3e7e-46b8-4057-8457-37276bd0afe2,-9030205.2558,4584271.2556
38336,SIOUX CITY IA,1361,WM Supercenter,Retail,3400 SINGING HILLS BLVD,SIOUX CITY,WOODBURY,IA,51106-5162,Open,07ed840f-2b1b-498b-a41a-55844a637ddb,-10727146.549,5226154.3007
38337,DESTIN FL,1362,WM Supercenter,Retail,15017 EMERALD COAST PKWY,DESTIN,WALTON,FL,32541-3358,Open,6e42ceff-f220-4ae4-8535-486ec3008570,-9623533.5776,3553725.5293
38338,MADISON GA,1363,WM Supercenter,Retail,1681 EATONTON RD,MADISON,MORGAN,GA,30650-4632,Open,28acecb0-ff2e-41e2-a54c-42f36642efad,-9292940.4048,3970692.6786
38339,LAKE HAVASU CITY AZ,1364,WM Supercenter,Retail,5695 HIGHWAY 95 N,LAKE HAVASU CITY,MOHAVE,AZ,86404-9646,Open,52f671a7-104b-4081-8849-6d6d189b3c4f,-12731398.7663,4105818.5453
38340,HUDSON WI,1365,Wal-Mart,Retail,2222 CREST VIEW DR,HUDSON,ST. CROIX,WI,54016-9487,Open,dffa46f5-aa9e-424f-9b71-29839329af34,-10322337.117,5615093.4099
38341,MERRILL WI,1366,WM Supercenter,Retail,505 S PINE RIDGE AVENUE,MERRILL,LINCOLN,WI,54452-8812,Open,df95929a-c3a0-4854-a2d7-aa860a6840dd,-9979713.7581,5649231.9764
38342,WARNER ROBINS GA,1367,WM Supercenter,Retail,2720 WATSON BLVD,WARNER ROBINS,HOUSTON,GA,31093-8041,Open,09e9240f-99a1-4703-980a-837341dd4f52,-9314466.2547,3845167.1513
38343,WEST UNION OH,1368,WM Supercenter,Retail,11217 STATE ROUTE 41,WEST UNION,ADAMS,OH,45693-9397,Open,fe812707-2740-4da1-8a02-3b524366ca1c,-9302387.422,4690867.7387
38344,PAYSON AZ,1369,WM Supercenter,Retail,300 N BEELINE HWY,PAYSON,GILA,AZ,85541-4305,Open,4f6ef113-e38b-4a4b-9743-87e45b572d3f,-12392680.6065,4061665.8369
38345,BULLHEAD CITY AZ,1370,WM Supercenter,Retail,2840 HIGHWAY 95,BULLHEAD CITY,MOHAVE,AZ,86442-7792,Open,a9d4bb45-7cb9-4727-89f2-b1d9a2bc8afc,-12756563.6504,4175100.2645
38346,COLUMBUS IN,1371,WM Supercenter,Retail,735 WHITFIELD DR,COLUMBUS,BARTHOLOMEW,IN,47201-2611,Open,b65024d5-bdce-495e-9da6-3efacb25832d,-9560046.7362,4751260.1908
38347,GARNER/RALEIGH NC,1372,WM Supercenter,Retail,4500 FAYETTEVILLE RD,RALEIGH,WAKE,NC,27603-3614,Open,e843299c-3b45-4603-9ed3-e4fcaff45c4c,-8756329.1408,4262035.8805
38348,LILBURN (DULUTH) GA,1373,WM Supercenter,Retail,4004 LAWRENCEVILLE HWY NW,LILBURN,GWINNETT,GA,30047-2205,Open,32af99aa-661b-48a5-ba26-e5715bf66f9f,-9363132.7984,4015778.1488
38349,"ALTAMONTE SPRINGS , FL",1374,Wal-Mart,Retail,200 S STATE ROAD 434,ALTAMONTE SPRINGS,SEMINOLE,FL,32714-3858,Open,22f8455d-0f05-4be2-97ec-94c46962f957,-9063759.288,3332439.3721
38350,MARIANNA FL,1375,WM Supercenter,Retail,2255 HIGHWAY 71,MARIANNA,JACKSON,FL,32448-2541,Open,4f28180c-56e9-4718-a71b-3434d213998b,-9483137.7698,3597442.2844
38351,HENDERSONVILLE TN,1376,WM Supercenter,Retail,204 N ANDERSON LN,HENDERSONVILLE,SUMNER,TN,37075-6926,Open,bf113734-36ae-4345-956d-91833ed34986,-9639752.7161,4345126.9194
38352,MCHENRY IL,1377,WM Supercenter,Retail,3801 RUNNING BRK FARM BLVD,JOHNSBURG,MCHENRY,IL,60051-5425,Open,077d98ce-7fb4-46f6-9d52-1c73b73660cb,-9826323.0695,5216394.634
